Country,Country Code,Education Type,Data Year,Percentage
Argentina,ARG,BUPPSRY,2021,33.458462
Argentina,ARG,TRY,2021,24.765341
Argentina,ARG,UPPSRY,2021,41.776196
Australia,AUS,BUPPSRY,2021,15.46888
Australia,AUS,TRY,2021,49.767868
Australia,AUS,UPPSRY,2021,34.763252
Austria,AUT,BUPPSRY,2021,14.060361
Austria,AUT,TRY,2021,34.604504
Austria,AUT,UPPSRY,2021,51.335136
Belgium,BEL,BUPPSRY,2021,18.473303
Belgium,BEL,TRY,2021,44.873066
Belgium,BEL,UPPSRY,2021,36.653629
Brazil,BRA,BUPPSRY,2021,41.5784
Brazil,BRA,TRY,2021,20.678915
Brazil,BRA,UPPSRY,2021,37.742687
Canada,CAN,BUPPSRY,2021,6.9325643
Canada,CAN,TRY,2021,61.985279
Canada,CAN,UPPSRY,2021,31.082157
Chile,CHL,BUPPSRY,2020,28.026119
Chile,CHL,TRY,2020,31.439775
Chile,CHL,UPPSRY,2020,40.534103
China,CHN,BUPPSRY,2020,63.374126
China,CHN,TRY,2020,18.535316
China,CHN,UPPSRY,2020,18.090559
Colombia,COL,BUPPSRY,2021,39.789829
Colombia,COL,TRY,2021,25.207756
Colombia,COL,UPPSRY,2021,35.002415
Costa Rica,CRI,BUPPSRY,2021,57.373444
Costa Rica,CRI,TRY,2021,24.640232
Costa Rica,CRI,UPPSRY,2021,17.986324
Czech Republic,CZE,BUPPSRY,2021,5.5797949
Czech Republic,CZE,TRY,2021,26.537458
Czech Republic,CZE,UPPSRY,2021,67.882744
Germany,DEU,BUPPSRY,2021,14.672102
Germany,DEU,TRY,2021,31.143503
Germany,DEU,UPPSRY,2021,54.184395
Denmark,DNK,BUPPSRY,2021,17.887573
Denmark,DNK,TRY,2021,41.881645
Denmark,DNK,UPPSRY,2021,40.230782
Estonia,EST,BUPPSRY,2021,10.475689
Estonia,EST,TRY,2021,41.226608
Estonia,EST,UPPSRY,2021,48.297703
Finland,FIN,BUPPSRY,2021,11.083303
Finland,FIN,TRY,2021,42.33107
Finland,FIN,UPPSRY,2021,46.585629
France,FRA,BUPPSRY,2021,17.760235
France,FRA,TRY,2021,40.703068
France,FRA,UPPSRY,2021,41.536697
Greece,GRC,BUPPSRY,2021,21.812767
Greece,GRC,TRY,2021,34.556225
Greece,GRC,UPPSRY,2021,43.631008
Hungary,HUN,BUPPSRY,2021,13.719394
Hungary,HUN,TRY,2021,29.29541
Hungary,HUN,UPPSRY,2021,56.985195
Indonesia,IDN,BUPPSRY,2021,57.04705
Indonesia,IDN,TRY,2021,13.170677
Indonesia,IDN,UPPSRY,2021,29.782272
India,IND,BUPPSRY,2020,77.645477
India,IND,TRY,2020,12.94724
India,IND,UPPSRY,2020,9.4072857
Ireland,IRL,BUPPSRY,2021,12.765348
Ireland,IRL,TRY,2021,53.708744
Ireland,IRL,UPPSRY,2021,33.525906
Iceland,ISL,BUPPSRY,2021,21.429537
Iceland,ISL,TRY,2021,43.06255
Iceland,ISL,UPPSRY,2021,35.507912
Israel,ISR,BUPPSRY,2021,12.055555
Israel,ISR,TRY,2021,49.688583
Israel,ISR,UPPSRY,2021,38.255859
Italy,ITA,BUPPSRY,2021,37.293571
Italy,ITA,TRY,2021,19.983055
Italy,ITA,UPPSRY,2021,42.72337
Japan,JPN,TRY,2021,55.555557
South Korea,KOR,BUPPSRY,2021,9.6675959
South Korea,KOR,TRY,2021,51.707623
South Korea,KOR,UPPSRY,2021,38.624783
Lithuania,LTU,BUPPSRY,2021,6.7329736
Lithuania,LTU,TRY,2021,45.343121
Lithuania,LTU,UPPSRY,2021,47.923908
Luxembourg,LUX,BUPPSRY,2021,19.698715
Luxembourg,LUX,TRY,2021,50.304401
Luxembourg,LUX,UPPSRY,2021,29.996883
Latvia,LVA,BUPPSRY,2021,10.605479
Latvia,LVA,TRY,2021,39.00124
Latvia,LVA,UPPSRY,2021,50.393284
Mexico,MEX,BUPPSRY,2021,57.190308
Mexico,MEX,TRY,2021,20.45546
Mexico,MEX,UPPSRY,2021,22.354233
Netherlands,NLD,BUPPSRY,2021,19.437679
Netherlands,NLD,TRY,2021,43.059402
Netherlands,NLD,UPPSRY,2021,37.502918
New Zealand,NZL,BUPPSRY,2021,19.431931
New Zealand,NZL,TRY,2021,40.490189
New Zealand,NZL,UPPSRY,2021,40.077881
Norway,NOR,BUPPSRY,2021,17.57239
Norway,NOR,TRY,2021,47.220146
Norway,NOR,UPPSRY,2021,35.207466
Poland,POL,BUPPSRY,2021,6.7923322
Poland,POL,TRY,2021,33.234364
Poland,POL,UPPSRY,2021,59.973305
Portugal,PRT,BUPPSRY,2021,40.549065
Portugal,PRT,TRY,2021,31.08424
Portugal,PRT,UPPSRY,2021,28.366695
Russia,RUS,BUPPSRY,2018,4.8022981
Russia,RUS,TRY,2018,56.725521
Russia,RUS,UPPSRY,2018,38.472183
Slovakia,SVK,BUPPSRY,2021,6.8340263
Slovakia,SVK,TRY,2021,27.911043
Slovakia,SVK,UPPSRY,2021,65.254929
Slovenia,SVN,BUPPSRY,2021,8.69
Slovenia,SVN,TRY,2021,40.3
Slovenia,SVN,UPPSRY,2021,51.01
South Africa,ZAF,BUPPSRY,2020,52.348087
South Africa,ZAF,TRY,2020,15.839705
South Africa,ZAF,UPPSRY,2020,31.812206
Spain,ESP,BUPPSRY,2021,36.083153
Spain,ESP,TRY,2021,40.703045
Spain,ESP,UPPSRY,2021,23.213802
Sweden,SWE,BUPPSRY,2021,15.142161
Sweden,SWE,TRY,2021,46.648315
Sweden,SWE,UPPSRY,2021,38.209526
Switzerland,CHE,BUPPSRY,2021,12.57438
Switzerland,CHE,TRY,2021,45.002983
Switzerland,CHE,UPPSRY,2021,42.422638
Turkey,TUR,BUPPSRY,2021,55.102688
Turkey,TUR,TRY,2021,24.452457
Turkey,TUR,UPPSRY,2021,20.444857
United Kingdom,GBR,BUPPSRY,2021,18.294903
United Kingdom,GBR,TRY,2021,50.145672
United Kingdom,GBR,UPPSRY,2021,31.559423
United States Of America,USA,BUPPSRY,2021,8.2938099
United States Of America,USA,TRY,2021,50.316986
United States Of America,USA,UPPSRY,2021,41.389202