Country,Year,Income
AUS,2022,59407.88998
AUT,2022,63801.6205
BEL,2022,64847.62388
CAN,2022,59050.40728
CZE,2022,33475.51974
DNK,2022,64126.65162
FIN,2022,51835.87394
FRA,2022,52763.5938
DEU,2022,58940.3278
GRC,2022,25978.97924
HUN,2022,28474.64324
IRL,2022,52242.6174
ITA,2022,44893.33467
JPN,2022,41509.20477
KOR,2022,48921.93486
LUX,2022,78310.14512
MEX,2022,16685.37147
NLD,2022,63224.9896
NOR,2022,53755.94037
POL,2022,36896.55924
PRT,2022,31921.65999
SVK,2022,26262.84353
ESP,2022,42859.33604
SWE,2022,50406.83074
CHE,2022,72993.02434
GBR,2022,53985.06047
USA,2022,77463.47302
EST,2022,34704.57152
ISR,2022,44155.94542
SVN,2022,47203.62743
ISL,2022,79473.35929
NZL,2022,50722.4543
CHL,2021,33042.3321
LVA,2022,34136.15487
LTU,2022,43874.58155
TUR,2020,31761
COL,2021,22248.49156
CRI,2021,31117.83426